pokedex_number;name;german_name;generation;status;species;type_number;type_1;type_2;height_m;weight_kg;hp;attack;defense;sp_attack;sp_defense;speed;catch_rate;percentage_male;egg_cycles;against_normal;against_fire;against_water;against_electric;against_grass;against_ice;against_fight;against_poison;against_ground;against_flying;against_psychic;against_bug;against_rock;against_ghost;against_dragon;against_dark;against_steel;against_fairy
98;Krabby;Krabby;1;Normal;River Crab;1;Water;;0.4;6.5;30;105;90;25;25;50;225;50.0;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
99;Kingler;Kingler;1;Normal;Pincer;1;Water;;1.3;60.0;55;130;115;50;50;75;60;50.0;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
100;Voltorb;Voltobal;1;Normal;Ball;1;Electric;;0.5;10.4;40;30;50;55;55;100;190;;20;1;1;1;0.5;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
101;Electrode;Lektrobal;1;Normal;Ball;1;Electric;;1.2;66.6;60;50;70;80;80;150;60;;20;1;1;1;0.5;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
102;Exeggcute;Owei;1;Normal;Egg;2;Grass;Psychic;0.4;2.5;60;40;80;60;45;40;90;50.0;20;1;2;0.5;0.5;0.5;2;0.5;2;0.5;2;0.5;4;1;2;1;2;1;1
103;Exeggutor;Kokowei;1;Normal;Coconut;2;Grass;Psychic;2.0;120.0;95;95;85;125;75;55;45;50.0;20;1;2;0.5;0.5;0.5;2;0.5;2;0.5;2;0.5;4;1;2;1;2;1;1
103;Alolan Exeggutor;Kokowei;1;Normal;Coconut;2;Grass;Dragon;10.9;415.6;95;105;85;125;75;45;45;50.0;20;1;1;0.25;0.25;0.25;4;1;2;0.5;2;1;2;1;1;2;1;1;2
104;Cubone;Tragosso;1;Normal;Lonely;1;Ground;;0.4;6.5;50;50;95;40;50;35;190;50.0;20;1;1;2;0;2;2;1;0.5;1;1;1;1;0.5;1;1;1;1;1
105;Marowak;Knogga;1;Normal;Bone Keeper;1;Ground;;1.0;45.0;60;80;110;50;80;45;75;50.0;20;1;1;2;0;2;2;1;0.5;1;1;1;1;0.5;1;1;1;1;1
105;Alolan Marowak;Knogga;1;Normal;Bone Keeper;2;Fire;Ghost;1.0;34.0;60;80;110;50;80;45;75;50.0;20;0;0.5;2;1;0.5;0.5;0;0.5;2;1;1;0.25;2;2;1;2;0.5;0.5
106;Hitmonlee;Kicklee;1;Normal;Kicking;1;Fighting;;1.5;49.8;50;120;53;35;110;87;45;100.0;25;1;1;1;1;1;1;1;1;1;2;2;0.5;0.5;1;1;0.5;1;2
107;Hitmonchan;Nockchan;1;Normal;Punching;1;Fighting;;1.4;50.2;50;105;79;35;110;76;45;100.0;25;1;1;1;1;1;1;1;1;1;2;2;0.5;0.5;1;1;0.5;1;2
108;Lickitung;Schlurp;1;Normal;Licking;1;Normal;;1.2;65.5;90;55;75;60;75;30;45;50.0;20;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
109;Koffing;Smogon;1;Normal;Poison Gas;1;Poison;;0.6;1.0;40;65;95;60;45;35;190;50.0;20;1;1;1;1;0.5;1;0.5;0.5;0;1;2;0.5;1;1;1;1;1;0.5
110;Weezing;Smogmog;1;Normal;Poison Gas;1;Poison;;1.2;9.5;65;90;120;85;70;60;60.0;50.0;20;1;1;1;1;0.5;1;0.5;0.5;0;1;2;0.5;1;1;1;1;1;0.5
110;Galarian Weezing;Smogmog;1;Normal;Poison Gas;2;Poison;Fairy;3.0;16.0;65;90;120;85;70;60;;;20;1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5
111;Rhyhorn;Rihorn;1;Normal;Spikes;2;Ground;Rock;1.0;115.0;80;85;95;30;30;25;120;50.0;20;0.5;0.5;4;0;4;2;2;0.25;2;0.5;1;1;0.5;1;1;1;2;1
112;Rhydon;Rizeros;1;Normal;Drill;2;Ground;Rock;1.9;120.0;105;130;120;45;45;40;60;50.0;20;0.5;0.5;4;0;4;2;2;0.25;2;0.5;1;1;0.5;1;1;1;2;1
113;Chansey;Chaneira;1;Normal;Egg;1;Normal;;1.1;34.6;250;5;5;35;105;50;30;0.0;40;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
114;Tangela;Tangela;1;Normal;Vine;1;Grass;;1.0;35.0;65;55;115;100;40;60;45;50.0;20;1;2;0.5;0.5;0.5;2;1;2;0.5;2;1;2;1;1;1;1;1;1
115;Kangaskhan;Kangama;1;Normal;Parent;1;Normal;;2.2;80.0;105;95;80;40;80;90;45;0.0;20;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
115;Mega Kangaskhan;Kangama;1;Normal;Parent;1;Normal;;2.2;100.0;105;125;100;60;100;100;45;0.0;20;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
116;Horsea;Seeper;1;Normal;Dragon;1;Water;;0.4;8.0;30;40;70;70;25;60;225;50.0;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
117;Seadra;Seemon;1;Normal;Dragon;1;Water;;1.2;25.0;55;65;95;95;45;85;75;50.0;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
118;Goldeen;Goldini;1;Normal;Goldfish;1;Water;;0.6;15.0;45;67;60;35;50;63;225;50.0;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
119;Seaking;Golking;1;Normal;Goldfish;1;Water;;1.3;39.0;80;92;65;65;80;68;60;50.0;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
120;Staryu;Sterndu;1;Normal;Star Shape;1;Water;;0.8;34.5;30;45;55;70;55;85;225;;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
121;Starmie;Starmie;1;Normal;Mysterious;2;Water;Psychic;1.1;80.0;60;75;85;100;85;115;60;;20;1;0.5;0.5;2;2;0.5;0.5;1;1;1;0.5;2;1;2;1;2;0.5;1
122;Mr. Mime;Pantimos;1;Normal;Barrier;2;Psychic;Fairy;1.3;54.5;40;45;65;100;120;90;45.0;50.0;25;1;1;1;1;1;1;0.25;2;1;1;0.5;1;1;2;0;1;2;1
122;Galarian Mr. Mime;Pantimos;1;Normal;Dancing;2;Psychic;Ice;1.4;56.8;50;65;65;90;90;100;;;25;1;1;1;1;1;1;0.25;1.5;1;1;0.5;1;1;1.5;0;1;1.5;1
123;Scyther;Sichlor;1;Normal;Mantis;2;Bug;Flying;1.5;56.0;70;110;80;55;80;105;45;50.0;25;1;2;1;2;0.25;2;0.25;1;0;2;1;0.5;4;1;1;1;1;1
124;Jynx;Rossana;1;Normal;Human Shape;2;Ice;Psychic;1.4;40.6;65;50;35;115;95;95;45;0.0;25;1;2;1;1;1;0.5;1;1;1;1;0.5;2;2;2;1;2;2;1
125;Electabuzz;Elektek;1;Normal;Electric;1;Electric;;1.1;30.0;65;83;57;95;85;105;45;75.0;25;1;1;1;0.5;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
126;Magmar;Magmar;1;Normal;Spitfire;1;Fire;;1.3;44.5;65;95;57;100;85;93;45;75.0;25;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
127;Pinsir;Pinsir;1;Normal;Stag Beetle;1;Bug;;1.5;55.0;65;125;100;55;70;85;45;50.0;25;1;2;1;1;0.5;1;0.5;1;0.5;2;1;1;2;1;1;1;1;1
127;Mega Pinsir;Pinsir;1;Normal;Stag Beetle;2;Bug;Flying;1.7;59.0;65;155;120;65;90;105;45;50.0;25;1;2;1;2;0.25;2;0.25;1;0;2;1;0.5;4;1;1;1;1;1
128;Tauros;Tauros;1;Normal;Wild Bull;1;Normal;;1.4;88.4;75;100;95;40;70;110;45;100.0;20;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
129;Magikarp;Karpador;1;Normal;Fish;1;Water;;0.9;10.0;20;10;55;15;20;80;255;50.0;5;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
130;Gyarados;Garados;1;Normal;Atrocious;2;Water;Flying;6.5;235.0;95;125;79;60;100;81;45;50.0;5;1;0.5;0.5;4;1;1;0.5;1;0;1;1;0.5;2;1;1;1;0.5;1
130;Mega Gyarados;Garados;1;Normal;Atrocious;2;Water;Dark;6.5;305.0;95;155;109;70;130;81;45;50.0;5;1;0.5;0.5;2;2;0.5;2;1;1;1;0;2;1;0.5;1;0.5;0.5;2
131;Lapras;Lapras;1;Normal;Transport;2;Water;Ice;2.5;220.0;130;85;80;85;95;60;45;50.0;40;1;1;0;2;2;0.25;2;1;1;1;1;1;2;1;1;1;1;1
132;Ditto;Ditto;1;Normal;Transform;1;Normal;;0.3;4.0;48;48;48;48;48;48;35;;20;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
133;Eevee;Evoli;1;Normal;Evolution;1;Normal;;0.3;6.5;55;55;50;45;65;55;45;87.5;35;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
133;Partner Eevee;Evoli;1;Normal;Evolution;1;Normal;;0.3;6.5;65;75;70;65;85;75;45;87.5;35;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
134;Vaporeon;Aquana;1;Normal;Bubble Jet;1;Water;;1.0;29.0;130;65;60;110;95;65;45;87.5;35;1;0.5;0;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
135;Jolteon;Blitza;1;Normal;Lightning;1;Electric;;0.8;24.5;65;65;60;110;95;130;45;87.5;35;1;1;1;0;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
136;Flareon;Flamara;1;Normal;Flame;1;Fire;;0.9;25.0;65;130;60;95;110;65;45;87.5;35;1;0;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
137;Porygon;Porygon;1;Normal;Virtual;1;Normal;;0.8;36.5;65;60;70;85;75;40;45;;20;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
138;Omanyte;Amonitas;1;Normal;Spiral;2;Rock;Water;0.4;7.5;35;40;100;90;55;35;45;87.5;30;0.5;0.25;1;2;4;0.5;2;0.5;2;0.5;1;1;1;1;1;1;1;1
139;Omastar;Amoroso;1;Normal;Spiral;2;Rock;Water;1.0;35.0;70;60;125;115;70;55;45;87.5;30;0.5;0.25;1;2;4;0.5;2;0.5;2;0.5;1;1;1;1;1;1;1;1
140;Kabuto;Kabuto;1;Normal;Shellfish;2;Rock;Water;0.5;11.5;30;80;90;55;45;55;45;87.5;30;0.5;0.25;1;2;4;0.5;2;0.5;2;0.5;1;1;1;1;1;1;1;1
141;Kabutops;Kabutops;1;Normal;Shellfish;2;Rock;Water;1.3;40.5;60;115;105;65;70;80;45;87.5;30;0.5;0.25;1;2;4;0.5;2;0.5;2;0.5;1;1;1;1;1;1;1;1
142;Aerodactyl;Aerodactyl;1;Normal;Fossil;2;Rock;Flying;1.8;59.0;80;105;65;60;75;130;45;87.5;35;0.5;0.5;2;2;1;2;1;0.5;0;0.5;1;0.5;2;1;1;1;2;1
142;Mega Aerodactyl;Aerodactyl;1;Normal;Fossil;2;Rock;Flying;2.1;79.0;80;135;85;70;95;150;45;87.5;35;0.5;0.5;2;2;1;2;1;0.5;0;0.5;1;0.5;2;1;1;1;2;1
143;Snorlax;Relaxo;1;Normal;Sleeping;1;Normal;;2.1;460.0;160;110;65;65;110;30;25;87.5;40;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
144;Articuno;Arktos;1;Sub Legendary;Freeze;2;Ice;Flying;1.7;55.4;90;85;100;95;125;85;3;;80;1;2;1;2;0.5;1;1;1;0;1;1;0.5;4;1;1;1;2;1
145;Zapdos;Zapdos;1;Sub Legendary;Electric;2;Electric;Flying;1.6;52.6;90;90;85;125;90;100;3;;80;1;1;1;1;0.5;2;0.5;1;0;0.5;1;0.5;2;1;1;1;0.5;1
146;Moltres;Lavados;1;Sub Legendary;Flame;2;Fire;Flying;2.0;60.0;90;100;90;125;85;90;3;;80;1;0.5;2;2;0.25;1;0.5;1;0;1;1;0.25;4;1;1;1;0.5;0.5
147;Dratini;Dratini;1;Normal;Dragon;1;Dragon;;1.8;3.3;41;64;45;50;50;50;45;50.0;40;1;0.5;0.5;0.5;0.5;2;1;1;1;1;1;1;1;1;2;1;1;2
148;Dragonair;Dragonir;1;Normal;Dragon;1;Dragon;;4.0;16.5;61;84;65;70;70;70;45;50.0;40;1;0.5;0.5;0.5;0.5;2;1;1;1;1;1;1;1;1;2;1;1;2
149;Dragonite;Dragoran;1;Normal;Dragon;2;Dragon;Flying;2.2;210.0;91;134;95;100;100;80;45;50.0;40;1;0.5;0.5;1;0.25;4;0.5;1;0;1;1;0.5;2;1;2;1;1;2
150;Mewtwo;Mewtu;1;Legendary;Genetic;1;Psychic;;2.0;122.0;106;110;90;154;90;130;3;;120;1;1;1;1;1;1;0.5;1;1;1;0.5;2;1;2;1;2;1;1
150;Mega Mewtwo X;Mewtu;1;Legendary;Genetic;2;Psychic;Fighting;2.3;127.0;106;190;100;154;100;130;3;;120;1;1;1;1;1;1;0.5;1;1;2;1;1;0.5;2;1;1;1;2
150;Mega Mewtwo Y;Mewtu;1;Legendary;Genetic;1;Psychic;;1.5;33.0;106;150;70;194;120;140;3;;120;1;1;1;1;1;1;0.5;1;1;1;0.5;2;1;2;1;2;1;1
151;Mew;Mew;1;Mythical;New Species;1;Psychic;;0.4;4.0;100;100;100;100;100;100;45;;120;1;1;1;1;1;1;0.5;1;1;1;0.5;2;1;2;1;2;1;1
152;Chikorita;Endivie;2;Normal;Leaf;1;Grass;;0.9;6.4;45;49;65;49;65;45;45;87.5;20;1;2;0.5;0.5;0.5;2;1;2;0.5;2;1;2;1;1;1;1;1;1
153;Bayleef;Lorblatt;2;Normal;Leaf;1;Grass;;1.2;15.8;60;62;80;63;80;60;45;87.5;20;1;2;0.5;0.5;0.5;2;1;2;0.5;2;1;2;1;1;1;1;1;1
154;Meganium;Meganie;2;Normal;Herb;1;Grass;;1.8;100.5;80;82;100;83;100;80;45;87.5;20;1;2;0.5;0.5;0.5;2;1;2;0.5;2;1;2;1;1;1;1;1;1
155;Cyndaquil;Feurigel;2;Normal;Fire Mouse;1;Fire;;0.5;7.9;39;52;43;60;50;65;45;87.5;20;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
156;Quilava;Igelavar;2;Normal;Volcano;1;Fire;;0.9;19.0;58;64;58;80;65;80;45;87.5;20;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
157;Typhlosion;Tornupto;2;Normal;Volcano;1;Fire;;1.7;79.5;78;84;78;109;85;100;45;87.5;20;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
158;Totodile;Karnimani;2;Normal;Big Jaw;1;Water;;0.6;9.5;50;65;64;44;48;43;45;87.5;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
159;Croconaw;Tyracroc;2;Normal;Big Jaw;1;Water;;1.1;25.0;65;80;80;59;63;58;45;87.5;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
160;Feraligatr;Impergator;2;Normal;Big Jaw;1;Water;;2.3;88.8;85;105;100;79;83;78;45;87.5;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
161;Sentret;Wiesor;2;Normal;Scout;1;Normal;;0.8;6.0;35;46;34;35;45;20;255;50.0;15;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
162;Furret;Wiesenior;2;Normal;Long Body;1;Normal;;1.8;32.5;85;76;64;45;55;90;90;50.0;15;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
163;Hoothoot;Hoothoot;2;Normal;Owl;2;Normal;Flying;0.7;21.2;60;30;30;36;56;50;255;50.0;15;1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1
164;Noctowl;Noctuh;2;Normal;Owl;2;Normal;Flying;1.6;40.8;100;50;50;86;96;70;90;50.0;15;1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1
165;Ledyba;Ledyba;2;Normal;Five Star;2;Bug;Flying;1.0;10.8;40;20;30;40;80;55;255;50.0;15;1;2;1;2;0.25;2;0.25;1;0;2;1;0.5;4;1;1;1;1;1
166;Ledian;Ledian;2;Normal;Five Star;2;Bug;Flying;1.4;35.6;55;35;50;55;110;85;90;50.0;15;1;2;1;2;0.25;2;0.25;1;0;2;1;0.5;4;1;1;1;1;1
167;Spinarak;Webarak;2;Normal;String Spit;2;Bug;Poison;0.5;8.5;40;60;40;40;40;30;255;50.0;15;1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5
168;Ariados;Ariados;2;Normal;Long Leg;2;Bug;Poison;1.1;33.5;70;90;70;60;70;40;90;50.0;15;1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5
169;Crobat;Iksbat;2;Normal;Bat;2;Poison;Flying;1.8;75.0;85;90;80;70;80;130;90;50.0;15;1;1;1;2;0.25;2;0.25;0.5;0;1;2;0.25;2;1;1;1;1;0.5
170;Chinchou;Lampi;2;Normal;Angler;2;Water;Electric;0.5;12.0;75;38;38;56;56;67;190;50.0;20;1;0.5;0.5;0;2;0.5;1;1;2;0.5;1;1;1;1;1;1;0.25;1
171;Lanturn;Lanturn;2;Normal;Light;2;Water;Electric;1.2;22.5;125;58;58;76;76;67;75;50.0;20;1;0.5;0.5;0;2;0.5;1;1;2;0.5;1;1;1;1;1;1;0.25;1
172;Pichu;Pichu;2;Normal;Tiny Mouse;1;Electric;;0.3;2.0;20;40;15;35;35;60;190;50.0;10;1;1;1;0.5;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
173;Cleffa;Pii;2;Normal;Star Shape;1;Fairy;;0.3;3.0;50;25;28;45;55;15;150;25.0;10;1;1;1;1;1;1;0.5;2;1;1;1;0.5;1;1;0;0.5;2;1
174;Igglybuff;Fluffeluff;2;Normal;Balloon;2;Normal;Fairy;0.3;1.0;90;30;15;40;20;15;170;25.0;10;1;1;1;1;1;1;1;2;1;1;1;0.5;1;0;0;0.5;2;1
175;Togepi;Togepi;2;Normal;Spike Ball;1;Fairy;;0.3;1.5;35;20;65;40;65;20;190;87.5;10;1;1;1;1;1;1;0.5;2;1;1;1;0.5;1;1;0;0.5;2;1
176;Togetic;Togetic;2;Normal;Happiness;2;Fairy;Flying;0.6;3.2;55;40;85;80;105;40;75;87.5;10;1;1;1;2;0.5;2;0.25;2;0;1;1;0.25;2;1;0;0.5;2;1
177;Natu;Natu;2;Normal;Tiny Bird;2;Psychic;Flying;0.2;2.0;40;50;45;70;45;70;190;50.0;20;1;1;1;2;0.5;2;0.25;1;0;1;0.5;1;2;2;1;2;1;1
178;Xatu;Xatu;2;Normal;Mystic;2;Psychic;Flying;1.5;15.0;65;75;70;95;70;95;75;50.0;20;1;1;1;2;0.5;2;0.25;1;0;1;0.5;1;2;2;1;2;1;1
179;Mareep;Voltilamm;2;Normal;Wool;1;Electric;;0.6;7.8;55;40;40;65;45;35;235;50.0;20;1;1;1;0.5;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
180;Flaaffy;Waaty;2;Normal;Wool;1;Electric;;0.8;13.3;70;55;55;80;60;45;120;50.0;20;1;1;1;0.5;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
181;Ampharos;Ampharos;2;Normal;Light;1;Electric;;1.4;61.5;90;75;85;115;90;55;45;50.0;20;1;1;1;0.5;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1
181;Mega Ampharos;Ampharos;2;Normal;Light;2;Electric;Dragon;1.4;61.5;90;95;105;165;110;45;45;50.0;20;1;0.5;0.5;0.25;0.5;2;1;1;2;0.5;1;1;1;1;2;1;0.5;2
182;Bellossom;Blubella;2;Normal;Flower;1;Grass;;0.4;5.8;75;80;95;90;100;50;45;50.0;20;1;2;0.5;0.5;0.5;2;1;2;0.5;2;1;2;1;1;1;1;1;1
183;Marill;Marill;2;Normal;Aqua Mouse;2;Water;Fairy;0.4;8.5;70;20;50;20;50;40;190;50.0;10;1;0.25;0.5;2;2;0.25;0.5;2;1;1;1;0.5;1;1;0;0.5;1;1
184;Azumarill;Azumarill;2;Normal;Aqua Rabbit;2;Water;Fairy;0.8;28.5;100;50;80;60;80;50;75;50.0;10;1;0.25;0.5;2;2;0.25;0.5;2;1;1;1;0.5;1;1;0;0.5;1;1
185;Sudowoodo;Mogelbaum;2;Normal;Imitation;1;Rock;;1.2;38.0;70;100;115;30;65;30;65;50.0;20;0.5;0.5;2;1;2;1;2;0.5;2;0.5;1;1;1;1;1;1;2;1
186;Politoed;Quaxo;2;Normal;Frog;1;Water;;1.1;33.9;90;75;75;90;100;70;45;50.0;20;1;0.5;0;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
187;Hoppip;Hoppspross;2;Normal;Cottonweed;2;Grass;Flying;0.4;0.5;35;35;40;35;55;50;255;50.0;20;1;2;0.5;1;0.25;4;0.5;2;0;2;1;1;2;1;1;1;1;1
188;Skiploom;Hubelupf;2;Normal;Cottonweed;2;Grass;Flying;0.6;1.0;55;45;50;45;65;80;120;50.0;20;1;2;0.5;1;0.25;4;0.5;2;0;2;1;1;2;1;1;1;1;1
189;Jumpluff;Papungha;2;Normal;Cottonweed;2;Grass;Flying;0.8;3.0;75;55;70;55;95;110;45;50.0;20;1;2;0.5;1;0.25;4;0.5;2;0;2;1;1;2;1;1;1;1;1
190;Aipom;Griffel;2;Normal;Long Tail;1;Normal;;0.8;11.5;55;70;55;40;55;85;45;50.0;20;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
191;Sunkern;Sonnkern;2;Normal;Seed;1;Grass;;0.3;1.8;30;30;30;30;30;30;235;50.0;20;1;2;0.5;0.5;0.5;2;1;2;0.5;2;1;2;1;1;1;1;1;1
192;Sunflora;Sonnflora;2;Normal;Sun;1;Grass;;0.8;8.5;75;75;55;105;85;30;120;50.0;20;1;2;0.5;0.5;0.5;2;1;2;0.5;2;1;2;1;1;1;1;1;1
193;Yanma;Yanma;2;Normal;Clear Wing;2;Bug;Flying;1.2;38.0;65;65;45;75;45;95;75;50.0;20;1;2;1;2;0.25;2;0.25;1;0;2;1;0.5;4;1;1;1;1;1
194;Wooper;Felino;2;Normal;Water Fish;2;Water;Ground;0.4;8.5;55;45;45;25;25;15;255;50.0;20;1;0.5;1;0;4;1;1;0.5;1;1;1;1;0.5;1;1;1;0.5;1
195;Quagsire;Morlord;2;Normal;Water Fish;2;Water;Ground;1.4;75.0;95;85;85;65;65;35;90;50.0;20;1;0.5;1;0;4;1;1;0.5;1;1;1;1;0.5;1;1;1;0.5;1
196;Espeon;Psiana;2;Normal;Sun;1;Psychic;;0.9;26.5;65;65;60;130;95;110;45;87.5;35;1;1;1;1;1;1;0.5;1;1;1;0.5;2;1;2;1;2;1;1
197;Umbreon;Nachtara;2;Normal;Moonlight;1;Dark;;1.0;27.0;95;65;110;60;130;65;45;87.5;35;1;1;1;1;1;1;2;1;1;1;0;2;1;0.5;1;0.5;1;2
198;Murkrow;Kramurx;2;Normal;Darkness;2;Dark;Flying;0.5;2.1;60;85;42;85;42;91;30;50.0;20;1;1;1;2;0.5;2;1;1;0;1;0;1;2;0.5;1;0.5;1;2
199;Slowking;Laschoking;2;Normal;Royal;2;Water;Psychic;2.0;79.5;95.0;75.0;80.0;100.0;110.0;30.0;70.0;50.0;20.0;1;0.5;0.5;2;2;0.5;0.5;1;1;1;0.5;2;1;2;1;2;0.5;1
200;Misdreavus;Traunfugil;2;Normal;Screech;1;Ghost;;0.7;1.0;60;60;60;85;85;85;45;50.0;25;0;1;1;1;1;1;0;0.5;0;1;1;0.5;1;2;1;2;1;1
201;Unown;Icognito;2;Normal;Symbol;1;Psychic;;0.5;5.0;48;72;48;72;48;48;225;;40;1;1;1;1;1;1;0.5;1;0;1;0.5;2;1;2;1;2;1;1
202;Wobbuffet;Woingenau;2;Normal;Patient;1;Psychic;;1.3;28.5;190;33;58;33;58;33;45;50.0;20;1;1;1;1;1;1;0.5;1;1;1;0.5;2;1;2;1;2;1;1
203;Girafarig;Girafarig;2;Normal;Long Neck;2;Normal;Psychic;1.5;41.5;70;80;65;90;65;85;60;50.0;20;1;1;1;1;1;1;1;1;1;1;0.5;2;1;0;1;2;1;1
204;Pineco;Tannza;2;Normal;Bagworm;1;Bug;;0.6;7.2;50;65;90;35;35;15;190;50.0;20;1;2;1;1;0.5;1;0.5;1;0.5;2;1;1;2;1;1;1;1;1
205;Forretress;Forstellka;2;Normal;Bagworm;2;Bug;Steel;1.2;125.8;75;90;140;60;60;40;75;50.0;20;0.5;4;1;1;0.25;0.5;1;0;1;1;0.5;0.5;1;1;0.5;1;0.5;0.5
206;Dunsparce;Dummisel;2;Normal;Land Snake;1;Normal;;1.5;14.0;100;70;70;65;65;45;190;50.0;20;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1
207;Gligar;Skorgla;2;Normal;FlyScorpion;2;Ground;Flying;1.1;64.8;65;75;105;35;65;85;60;50.0;20;1;1;2;0;1;4;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1
208;Steelix;Stahlos;2;Normal;Iron Snake;2;Steel;Ground;9.2;400.0;75;85;200;55;65;30;25;50.0;25;0.5;2;2;0;1;1;2;0;2;0.5;0.5;0.5;0.25;1;0.5;1;0.5;0.5
208;Mega Steelix;Stahlos;2;Normal;Iron Snake;2;Steel;Ground;10.5;740.0;75;125;230;55;95;30;25;50.0;25;0.5;2;2;0;1;1;2;0;2;0.5;0.5;0.5;0.25;1;0.5;1;0.5;0.5
209;Snubbull;Snubbull;2;Normal;Fairy;1;Fairy;;0.6;7.8;60;80;50;40;40;30;190;25.0;20;1;1;1;1;1;1;0.5;2;1;1;1;0.5;1;1;0;0.5;2;1
210;Granbull;Granbull;2;Normal;Fairy;1;Fairy;;1.4;48.7;90;120;75;60;60;45;75;25.0;20;1;1;1;1;1;1;0.5;2;1;1;1;0.5;1;1;0;0.5;2;1
211;Qwilfish;Baldorfish;2;Normal;Balloon;2;Water;Poison;0.5;3.9;65;95;85;55;55;85;45;50.0;20;1;0.5;0.5;2;1;0.5;0.5;0.5;2;1;2;0.5;1;1;1;1;0.5;0.5
212;Scizor;Scherox;2;Normal;Pincer;2;Bug;Steel;1.8;118.0;70;130;100;55;80;65;25;50.0;25;0.5;4;1;1;0.25;0.5;1;0;1;1;0.5;0.5;1;1;0.5;1;0.5;0.5
212;Mega Scizor;Scherox;2;Normal;Pincer;2;Bug;Steel;2.0;125.0;70;150;140;65;100;75;25;50.0;25;0.5;4;1;1;0.25;0.5;1;0;1;1;0.5;0.5;1;1;0.5;1;0.5;0.5
213;Shuckle;Pottrott;2;Normal;Mold;2;Bug;Rock;0.6;20.5;20;10;230;10;230;5;190;50.0;20;0.5;1;2;1;1;1;1;0.5;1;1;1;1;2;1;1;1;2;1
214;Heracross;Skaraborn;2;Normal;Single Horn;2;Bug;Fighting;1.5;54.0;80;125;75;40;95;85;45;50.0;25;1;2;1;1;0.5;1;0.5;1;0.5;4;2;0.5;1;1;1;0.5;1;2
